pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
36.328,101.917,0.284202,-0.11656,5.56799e-09,2.1589,-110.752,-4.46222e-07,28.4061,2.16205,2.60361e-10,0.00343642,0.499996,5.42396e-09,0.118188,-2.7932e-09,-1.08422e-06,16.1228,-7.82035e-07,0,0,1,0,0
36.3278,101.917,0.288634,-0.116893,4.48066e-09,2.2157,0.0361736,-1.76785e-07,28.4062,2.21878,2.65378e-10,0.00362665,0.499996,2.5086e-09,0.120898,-2.21083e-09,-1.45768e-06,1.35503,2.91187e-07,0,0,1,0,0
36.328,101.917,0.293178,0.104325,1.08236e-08,2.27249,110.82,1.06574e-07,28.4062,2.27488,2.73674e-10,0.00375733,0.499996,4.14799e-09,0.093147,-2.10976e-09,8.19695e-07,-13.8755,5.05331e-08,0,0,1,0,0
36.3282,101.918,0.297836,0.104098,1.01974e-08,2.32931,0.0347078,-3.20824e-07,28.4061,2.33164,2.79805e-10,0.00389017,0.499996,3.0652e-09,0.0958571,-1.41038e-09,-5.41397e-07,1.35503,3.4969e-07,0,0,1,0,0
36.328,101.917,0.302581,-0.0990923,1.08816e-08,2.37235,-101.44,-6.30467e-07,21.5116,2.37442,2.81406e-10,0.00407303,0.499996,8.00877e-10,0.118485,-2.38187e-09,-1.13216e-06,11.3142,-4.85746e-07,0,0,1,0,0
36.3279,101.917,0.307414,-0.098314,1.07124e-08,2.41622,0.606035,-6.17295e-07,21.9436,2.41822,2.79822e-10,0.00425719,0.499996,-7.92119e-10,0.112753,-2.75987e-09,-7.96498e-07,-2.8664,-1.88999e-07,0,0,1,0,0
36.328,101.917,0.312303,0.0675632,7.87262e-09,2.44469,83.1611,-6.40127e-07,14.2468,2.44563,2.75337e-10,0.00440225,0.499996,-2.2427e-09,0.0861954,-2.45723e-09,-7.25289e-07,-13.2786,1.51322e-07,0,0,1,0,0
36.3282,101.918,0.317234,0.0764801,5.82799e-09,2.46591,4.63578,-5.30987e-07,10.6038,2.4671,2.68443e-10,0.00455169,0.499996,-3.44669e-09,0.0804769,-2.50369e-09,-6.01994e-07,-2.85925,-2.32312e-08,0,0,1,0,0
36.3281,101.917,0.322192,-0.0405626,4.68213e-09,2.47858,-58.3371,-3.87924e-07,6.32762,2.47891,2.58551e-10,0.00474006,0.499996,-4.94619e-09,0.0941832,-1.9702e-09,-7.49754e-07,6.85312,2.66744e-07,0,0,1,0,0
36.3281,101.917,0.327188,-0.0326555,2.68647e-09,2.49785,4.187,-6.70346e-07,9.63865,2.49806,2.4591e-10,0.00493792,0.499996,-6.32067e-09,0.0989296,-2.57939e-09,-6.87239e-07,2.37323,-3.04593e-07,0,0,1,0,0
36.3282,101.918,0.332204,0.078699,3.56417e-09,2.50859,55.9244,-3.29716e-07,5.37547,2.50982,2.31925e-10,0.00511279,0.499996,-6.9921e-09,0.0874331,-3.57124e-09,-3.35712e-07,-5.74827,-4.95926e-07,0,0,1,0,0
36.3284,101.918,0.337229,0.0883052,1.87361e-09,2.51297,5.02244,2.90888e-07,2.18127,2.51452,2.17726e-10,0.00529367,0.499996,-7.09969e-09,0.0904406,-2.51186e-09,-5.37972e-08,1.50376,5.29689e-07,0,0,1,0,0
36.3284,101.918,0.342281,-0.00239269,2.099e-09,2.52595,-45.1217,3.44227e-07,6.48487,2.52595,2.04388e-10,0.00548972,0.499996,-6.66893e-09,0.0980282,-1.40656e-09,2.15381e-07,3.79381,5.52649e-07,0,0,1,0,0
36.3284,101.918,0.347339,-0.0468694,2.72902e-09,2.52874,-21.9907,6.25442e-07,1.39366,2.52917,1.93802e-10,0.00569039,0.499996,-5.29298e-09,0.100332,1.87225e-09,6.87973e-07,1.15185,1.63941e-06,0,0,1,0,0
36.3284,101.918,0.352389,-0.0133419,4.36161e-10,2.52487,17.0174,-1.00122e-06,-1.93001,2.5249,1.81077e-10,0.00587013,0.499996,-6.36247e-09,0.0898711,1.7778e-09,-5.34745e-07,-5.2304,-4.72267e-08,0,0,1,0,0
36.3285,101.918,0.357418,0.0324701,-5.92982e-09,2.51492,23.1329,-2.45333e-06,-4.97578,2.51513,1.63389e-10,0.00602466,0.499996,-8.84436e-09,0.0772659,-2.97425e-09,-1.24094e-06,-6.30264,-2.37602e-06,0,0,1,0,0
36.3285,101.918,0.362427,0.0313906,-4.72178e-09,2.50475,-0.345412,8.4183e-07,-5.0866,2.50494,1.47752e-10,0.00617675,0.499996,-7.81824e-09,0.0760424,-2.32486e-09,5.13057e-07,-0.61172,3.24692e-07,0,0,1,0,0
36.3285,101.918,0.36744,-0.0201844,1.10609e-09,2.50632,-25.5971,3.44558e-06,0.785741,2.50641,1.4119e-10,0.00636561,0.499996,-3.28105e-09,0.0944332,1.00307e-09,2.2686e-06,9.19541,1.66397e-06,0,0,1,0,0
36.3285,101.918,0.372435,-0.0323013,4.54532e-09,2.49748,-5.82176,1.35515e-06,-4.42189,2.49768,1.37415e-10,0.00657018,0.499996,-1.88759e-09,0.102285,1.07342e-09,6.96728e-07,3.92601,3.51745e-08,0,0,1,0,0
36.3285,101.918,0.377406,0.00365931,5.68698e-09,2.48557,18.2358,-2.03644e-07,-5.94727,2.48558,1.33499e-10,0.00677149,0.499996,-1.95793e-09,0.100651,7.70134e-10,-3.51671e-08,-0.816949,-1.51641e-07,0,0,1,0,0
36.3286,101.918,0.382349,0.00661551,5.26689e-09,2.47159,1.72828,-1.39098e-07,-6.9941,2.4716,1.29614e-10,0.00697877,0.499996,-1.94273e-09,0.103642,1.03589e-09,7.59966e-09,1.49533,1.32879e-07,0,0,1,0,0
36.3286,101.918,0.38726,-0.0147393,5.59534e-09,2.45567,-10.4212,-1.45459e-07,-7.96169,2.45571,1.25643e-10,0.0071986,0.499996,-1.98531e-09,0.109916,1.38289e-09,-2.12931e-08,3.13702,1.73498e-07,0,0,1,0,0
36.3286,101.918,0.392137,-0.019423,4.4319e-09,2.43799,-2.07192,-5.84244e-07,-8.83715,2.43807,1.20396e-10,0.00742254,0.499996,-2.62335e-09,0.111967,2.41989e-09,-3.19017e-07,1.02546,5.18502e-07,0,0,1,0,0
36.3286,101.918,0.396974,-0.0144129,3.13945e-09,2.41876,2.77801,-5.88445e-07,-9.61177,2.4188,1.1378e-10,0.0076449,0.499996,-3.30822e-09,0.111181,3.58633e-09,-3.42435e-07,-0.393091,5.83218e-07,0,0,1,0,0
36.3286,101.918,0.401773,-0.0138317,3.13066e-09,2.39914,0.559533,-5.88422e-08,-9.80636,2.39918,1.0703e-10,0.00786688,0.499996,-3.37489e-09,0.110993,3.68325e-09,-3.33356e-08,-0.0939193,4.84638e-08,0,0,1,0,0
36.3286,101.918,0.406532,-0.01421,3.11237e-09,2.37953,0.0771471,-1.04961e-09,-9.80635,2.37957,1.0028e-10,0.00808887,0.499996,-3.37489e-09,0.110993,3.68325e-09,0,0,0,0,0,1,0,0
36.3286,101.918,0.411263,-0.00327443,-3.83245e-09,2.3659,5.73188,-3.54984e-06,-6.81412,2.3659,8.54265e-11,0.0082983,0.499996,-7.42683e-09,0.104717,-2.88865e-09,-2.02597e-06,-3.13789,-3.28595e-06,0,0,1,0,0
36.3287,101.918,0.415959,0.011343,-2.00188e-09,2.34784,7.55644,1.07074e-06,-9.02629,2.34787,7.30874e-11,0.00849989,0.499996,-6.16956e-09,0.100795,-9.47191e-10,6.28637e-07,-1.9613,9.70727e-07,0,0,1,0,0
36.3287,101.918,0.420615,0.014033,6.78201e-09,2.32849,1.58165,4.71635e-06,-9.67777,2.32853,7.1664e-11,0.00869997,0.499996,-7.11724e-10,0.100041,7.82939e-09,2.72892e-06,-0.376958,4.38829e-06,0,0,1,0,0
36.3288,101.918,0.425233,0.0130892,7.26462e-09,2.30888,-0.238909,9.59389e-08,-9.80628,2.30892,7.04638e-11,0.00890031,0.499996,-6.00108e-10,0.100167,8.00467e-09,5.58083e-08,0.0629504,8.76371e-08,0,0,1,0,0
36.3288,101.918,0.429811,0.0128013,7.26047e-09,2.28927,0.0872809,-6.91014e-10,-9.80626,2.28931,6.92636e-11,0.00910064,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-5.95562e-08,0,0,0,1,0,0
36.3289,101.918,0.43435,0.0125211,7.25636e-09,2.26966,0.0892454,-6.79243e-10,-9.80624,2.2697,6.80633e-11,0.00930097,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-5.69502e-08,0,0,0,1,0,0
36.329,101.918,0.438849,0.0122489,7.2523e-09,2.25005,0.09121,-6.67473e-10,-9.80623,2.25008,6.68631e-11,0.00950131,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-5.44723e-08,0,0,0,1,0,0
36.329,101.918,0.44331,0.0119845,7.24829e-09,2.23044,0.0931745,-6.55703e-10,-9.80621,2.23047,6.56629e-11,0.00970164,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-5.21177e-08,0,0,0,1,0,0
36.3291,101.918,0.447731,0.0117279,7.24433e-09,2.21083,0.095139,-6.43933e-10,-9.80619,2.21086,6.44627e-11,0.00990197,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-4.9882e-08,0,0,0,1,0,0
36.3291,101.918,0.452113,0.0114792,7.24041e-09,2.19122,0.0971035,-6.32163e-10,-9.80617,2.19125,6.32625e-11,0.0101023,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-4.77607e-08,0,0,0,1,0,0
36.3292,101.918,0.456456,0.0112384,7.23654e-09,2.17161,0.099068,-6.20393e-10,-9.80615,2.17164,6.20623e-11,0.0103026,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-4.57493e-08,0,0,0,1,0,0
36.3293,101.918,0.460759,0.0110054,7.23271e-09,2.152,0.101032,-6.08623e-10,-9.80613,2.15203,6.08621e-11,0.010503,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-4.38437e-08,0,0,0,1,0,0
36.3293,101.918,0.465024,0.0107803,7.22894e-09,2.13239,0.102997,-5.96853e-10,-9.80611,2.13242,5.96619e-11,0.0107033,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-4.20397e-08,0,0,0,1,0,0
36.3294,101.918,0.469249,0.010563,7.22521e-09,2.11278,0.104961,-5.85083e-10,-9.80609,2.11281,5.84616e-11,0.0109036,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-4.03334e-08,0,0,0,1,0,0
36.3294,101.918,0.473435,0.0103536,7.22153e-09,2.09317,0.106926,-5.73313e-10,-9.80607,2.0932,5.72614e-11,0.011104,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.87208e-08,0,0,0,1,0,0
36.3295,101.918,0.477581,0.010152,7.21789e-09,2.07356,0.10889,-5.61543e-10,-9.80605,2.07359,5.60612e-11,0.0113043,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.71982e-08,0,0,0,1,0,0
36.3295,101.918,0.481689,0.00995835,7.2143e-09,2.05395,0.110855,-5.49773e-10,-9.80602,2.05397,5.4861e-11,0.0115046,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.5762e-08,0,0,0,1,0,0
36.3296,101.918,0.485757,0.00977251,7.21076e-09,2.03434,0.112819,-5.38002e-10,-9.806,2.03436,5.36608e-11,0.011705,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.44088e-08,0,0,0,1,0,0
36.3297,101.918,0.489786,0.00959453,7.20727e-09,2.01473,0.114784,-5.26232e-10,-9.80598,2.01475,5.24606e-11,0.0119053,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.31354e-08,0,0,0,1,0,0
36.3297,101.918,0.493776,0.00942441,7.20382e-09,1.99512,0.116748,-5.14462e-10,-9.80596,1.99514,5.12603e-11,0.0121056,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.19385e-08,0,0,0,1,0,0
36.3298,101.918,0.497726,0.00926215,7.20042e-09,1.97551,0.118713,-5.02692e-10,-9.80593,1.97553,5.00601e-11,0.012306,0.499996,-6.00108e-10,0.100167,8.00467e-09,0,-3.08152e-08,0,0,0,1,0,0
