pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
223.863,372.019,1.91152,0.0596064,-1.46969e-09,2.43405,73.9379,-2.89305e-07,16.8077,2.43478,2.23601e-10,0.00439127,-3.64051e-06,-4.77737e-09,0.0844926,-1.06232e-09,-4.35802e-07,-13.8708,3.19611e-08,0,0,1,0,0
223.864,372.019,1.91643,0.0741315,-1.66513e-09,2.45429,7.43174,-8.61797e-08,10.1155,2.45541,2.11986e-10,0.00453369,-3.64052e-06,-5.80755e-09,0.0783748,-1.25536e-09,-5.15092e-07,-3.05889,-9.65189e-08,0,0,1,0,0
223.864,372.019,1.92137,-0.0252796,-1.49089e-09,2.4672,-49.5308,1.01271e-07,6.45183,2.46733,2.00556e-10,0.00471507,-3.64052e-06,-5.71477e-09,0.0906868,-7.03317e-10,4.63878e-08,6.15598,2.7602e-07,0,0,1,0,0
223.864,372.019,1.92634,-0.0218459,1.20529e-09,2.48564,1.94059,1.3622e-06,9.22299,2.48574,1.92001e-10,0.00490839,-3.64051e-06,-4.27775e-09,0.0966608,1.76027e-09,7.18512e-07,2.98699,1.23179e-06,0,0,1,0,0
223.864,372.019,1.93133,0.067795,1.8784e-09,2.49558,45.0607,3.47171e-07,4.97011,2.4965,1.85238e-10,0.00508638,-3.64051e-06,-3.38127e-09,0.0889975,2.1689e-09,4.48243e-07,-3.83165,2.04317e-07,0,0,1,0,0
223.864,372.019,1.93633,0.0704642,-1.1682e-09,2.50276,1.55671,-1.51469e-06,3.58614,2.50375,1.74528e-10,0.00526844,-3.64051e-06,-5.35519e-09,0.0910295,-9.16877e-10,-9.8696e-07,1.01602,-1.54289e-06,0,0,1,0,0
223.864,372.019,1.94136,-0.00807987,-1.49382e-09,2.51363,-39.0442,-1.49472e-07,5.42885,2.51364,1.63865e-10,0.00546446,-3.64051e-06,-5.33137e-09,0.0980066,-1.25932e-09,1.19087e-08,3.48854,-1.71223e-07,0,0,1,0,0
223.864,372.019,1.94639,-0.0171792,6.45968e-09,2.51626,-4.3033,3.99014e-06,1.3149,2.51632,1.62817e-10,0.00565325,-3.6405e-06,-5.23909e-10,0.094399,6.18589e-09,2.40373e-06,-1.80378,3.7226e-06,0,0,1,0,0
223.864,372.019,1.95142,0.0382387,4.0073e-10,2.51223,27.9464,-3.02818e-06,-2.01569,2.51252,1.54808e-10,0.00581352,-3.6405e-06,-4.00456e-09,0.0801329,3.67478e-11,-1.74033e-06,-7.13308,-3.07457e-06,0,0,1,0,0
223.864,372.019,1.95642,0.0439414,-1.30315e-08,2.50351,3.0527,-6.70608e-06,-4.35941,2.5039,1.31761e-10,0.00596363,-3.64053e-06,-1.15234e-08,0.075054,-1.26308e-08,-3.75944e-06,-2.53941,-6.33379e-06,0,0,1,0,0
223.864,372.019,1.96144,-0.0111759,-8.32838e-09,2.51031,-27.3708,2.37968e-06,3.39319,2.51033,1.14569e-10,0.00615179,-3.64054e-06,-8.59601e-09,0.0940812,-5.41705e-09,1.46371e-06,9.51356,3.60689e-06,0,0,1,0,0
223.864,372.019,1.96645,-0.0250214,4.01364e-09,2.50529,-6.68658,6.19257e-06,-2.50917,2.50541,1.12193e-10,0.00635548,-3.64052e-06,-1.18816e-09,0.101843,8.86857e-09,3.70393e-06,3.88111,7.14281e-06,0,0,1,0,0
223.864,372.019,1.97144,0.0146449,1.07006e-08,2.49549,20.0883,3.3464e-06,-4.89365,2.49554,1.17066e-10,0.00655556,-3.64049e-06,2.43678e-09,0.100041,1.49931e-08,1.81247e-06,-0.901049,3.06227e-06,0,0,1,0,0
223.864,372.019,1.97641,0.0188971,1.03412e-08,2.48256,2.37573,-1.85357e-07,-6.4682,2.48263,1.21406e-10,0.00676258,-3.64046e-06,2.17e-09,0.103512,1.35095e-08,-1.3339e-07,1.73543,-7.41815e-07,0,0,1,0,0
223.864,372.019,1.98134,-0.00215628,1.09682e-08,2.4674,-10.2697,3.08593e-07,-7.58151,2.4674,1.26663e-10,0.00698297,-3.64044e-06,2.62838e-09,0.110191,1.27975e-08,2.2919e-07,3.33921,-3.55966e-07,0,0,1,0,0
223.864,372.019,1.98624,-0.00662325,2.45159e-08,2.45022,-1.9616,6.76755e-06,-8.59139,2.45023,1.47534e-10,0.00720799,-3.64043e-06,1.04353e-08,0.112514,1.0331e-09,3.90345e-06,1.16183,-5.88222e-06,0,0,1,0,0
223.864,372.019,1.99111,-0.00103925,3.32314e-08,2.43124,3.06768,4.33219e-06,-9.48737,2.43124,1.78487e-10,0.00743157,-3.64045e-06,1.54768e-08,0.111789,-6.44107e-09,2.52076e-06,-0.362462,-3.73708e-06,0,0,1,0,0
223.864,372.019,1.99593,-9.46251e-05,2.86626e-08,2.41163,0.744101,-2.32211e-06,-9.80638,2.41163,2.04052e-10,0.00765464,-3.64045e-06,1.27821e-08,0.111532,-2.43014e-09,-1.34734e-06,-0.128838,2.00546e-06,0,0,1,0,0
223.864,372.019,2.00071,-0.000482439,2.87204e-08,2.39201,0.0750656,-2.00106e-09,-9.80636,2.39201,2.29616e-10,0.0078777,-3.64046e-06,1.27821e-08,0.111532,-2.43014e-09,0,0,0,0,0,1,0,0
223.864,372.019,2.00547,0.0108151,-5.7988e-07,2.3801,5.91555,-0.000304331,-5.95642,2.38013,-4.52091e-10,0.00808567,-3.6416e-06,-3.40854e-07,0.103986,-5.72131e-07,-0.000176818,-3.77268,-0.00028485,0,0,1,0,0
223.865,372.019,2.0102,0.0182369,-6.78215e-07,2.3625,3.9584,-4.83728e-05,-8.80272,2.36257,-1.24622e-09,0.00828792,-3.64292e-06,-3.97065e-07,0.101125,-6.61616e-07,-2.81059e-05,-1.43083,-4.47427e-05,0,0,1,0,0
223.865,372.019,2.01488,0.0132916,-1.04059e-07,2.34322,-2.23373,0.000287991,-9.64096,2.34326,-1.37149e-09,0.00849147,-3.64317e-06,-6.26323e-08,0.101776,-1.21106e-07,0.000167217,0.325748,0.000270255,0,0,1,0,0
223.865,372.019,2.01953,0.0122696,-4.0263e-08,2.32361,-0.272544,3.20409e-05,-9.8063,2.32364,-1.42236e-09,0.0086953,-3.64329e-06,-2.54383e-08,0.101913,-6.11456e-08,1.8597e-05,0.0685403,2.99801e-05,0,0,1,0,0
223.865,372.019,2.02414,0.0119665,-4.03494e-08,2.304,0.0852705,1.39486e-08,-9.80628,2.30403,-1.47324e-09,0.00889913,-3.64341e-06,-2.54383e-08,0.101913,-6.11456e-08,0,-5.23307e-08,0,0,0,1,0,0
