pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocity,roll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,wheel_rgt,wheel_lft,aclCmd,brakeCmd,clutchCmd,geraCmd
123.976,11.827,0.388649,13.9999,0.0196887,-0.0599007,17.9772,0.564779,-0.0771983,14,0.000551041,-0.00427789,-0.0175725,0.00174974,0.000147403,0.050078,-0.0264101,0.00607949,0.076298,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.004,11.8266,0.388649,13.9999,0.0193693,-0.0598961,18.0008,0.566295,-0.0771232,14,0.000554437,-0.00427759,-0.0174721,0.001698,0.000150477,0.0502319,-0.0258682,0.001537,0.0769539,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.032,11.8261,0.388649,13.9999,0.0190495,-0.0598913,18.0233,0.567896,-0.0771859,14,0.000557731,-0.0042773,-0.0173713,0.00164706,0.000145065,0.0503867,-0.0254675,-0.00270586,0.0774095,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.06,11.8257,0.388649,13.9999,0.0187298,-0.0598866,18.0433,0.569704,-0.0772512,14,0.000560926,-0.00427704,-0.0172702,0.00159728,0.00013225,0.0505421,-0.0248898,-0.00640766,0.0776639,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.088,11.8252,0.388649,13.9999,0.0184104,-0.059882,18.062,0.571641,-0.0771779,14,0.000564023,-0.00427681,-0.0171688,0.00154841,0.000112899,0.0506977,-0.0244361,-0.00967551,0.077846,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.116,11.8248,0.388649,13.9999,0.0180916,-0.0598778,18.0791,0.573718,-0.0771725,14,0.000567026,-0.00427664,-0.0170671,0.00150147,8.7885e-05,0.0508533,-0.0234706,-0.012507,0.0777781,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.144,11.8243,0.388649,13.9999,0.0177736,-0.0598748,18.0946,0.575896,-0.0775161,14,0.000569938,-0.00427652,-0.0169651,0.00145645,5.7929e-05,0.0510083,-0.0225094,-0.014978,0.0775007,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.172,11.8239,0.388649,13.9999,0.0174566,-0.0598724,18.1088,0.578194,-0.0774533,14,0.000572764,-0.00427647,-0.0168628,0.00141257,2.37212e-05,0.0511627,-0.0219417,-0.0171039,0.0771836,0.0241538,0.00880854,0.00885283,0.889701,0,0,1
124.2,11.8234,0.388649,13.9999,0.0171189,-0.0598713,18.122,0.569591,-0.0776667,14,0.00057548,-0.0042765,-0.0167602,0.00135832,-1.41611e-05,0.0512956,-0.0271261,-0.0189412,0.0664602,0.0237012,0.00864432,0.00868696,0.861269,0,0,1
124.228,11.823,0.388649,13.9999,0.0167648,-0.0598711,18.1198,0.562795,-0.0776079,14,0.000578072,-0.0042766,-0.0166574,0.0012959,-4.98885e-05,0.0514044,-0.0312074,-0.0178637,0.054383,0.0237012,0.00864432,0.00868696,0.861269,0,0,1
